Designation,Footprint,Part Number,Quantity,Value
C1,0805,GRM21BR61E106MA73L,1,10 uF
"C2, C3, C7, C8, C9",0805,GCJ21BR71H104MA01L,5,.1 uF
C4,0805,C0805C180J3GACTU ,1,18 pF
"C5, C6",0805,GRM21BR61A226ME44L,2,22 uF
D1,1206,SM1206NBWC-IL ,1,BLUE LED SMD 1206
D2,1206,SM1206RC-IL,1,RED LED SMD 1206
D3,1206,SM1206GC,1,GREEN LED SMD 1206
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,HTSW-110-07-F-S,2,Conn_01x03_Pin
L1,SMD/SMT,74437349047,1,4.7 uH
Q1,SOT-23,"
DMP68D1LQ-7
",1,MOSFET P-CHANNEL
"R1, R4",0805,RT0805FRE07100KL ,2,100K 1% 1/8W
R2,0805,RT0805FRE07220KL ,1,220K 1% 1/8W
R3,0805,RT0805FRE0730KL ,1,30K   1% 1/8W
"R5, R6, R7",0805,RT0805FRE071KL ,3,1K     1% 1/8W
U1,SOT-563,TPS563206DRLR,1,Switching Voltage Regulator
U2,SOIC-8W_5.3x5.3mm_P1.27mm,ATtiny85V-10S,1,ATtiny85V-10S
U3,SO-8_3.9x4.9mm_P1.27mm,"
AP2152ASG-13
",1,Dual Power Switch 
