Designator,Mid X,Mid Y,Rotation,Layer
C1,182.5498,-82.9056,270.0,top
C2,180.0606,-82.9056,270.0,top
C3,185.1152,-77.6986,270.0,top
C4,190.5,-74.422,0.0,top
C5,180.0606,-88.2396,270.0,top
C6,182.4736,-88.265,270.0,top
C7,184.7088,-88.2904,270.0,top
C8,182.753,-77.724,270.0,top
C9,207.0354,-74.3204,0.0,top
D1,171.1452,-93.472,0.0,top
D2,171.5486,-75.8952,0.0,top
D3,208.28,-86.7664,90.0,top
J1,202.2856,-85.9282,180.0,top
J2,203.6976,-94.869,90.0,top
L1,190.0936,-85.5544,270.0,top
Q1,183.388,-95.7557,270.0,top
R1,192.6082,-78.8943,270.0,top
R2,197.866,-88.9508,0.0,top
R3,194.945,-78.8924,270.0,top
R4,183.9468,-92.3036,180.0,top
R5,176.6062,-93.2942,0.0,top
R6,177.673,-75.6666,180.0,top
R7,208.2292,-78.9432,90.0,top
U1,189.726,-78.359,0.0,top
U2,191.643,-94.1578,270.0,top
U3,200.9044,-78.105,0.0,top
